Platypus Guides

INVOICE

"443 Koala AvenueSydney, NSW 4357"

Invoice #, AU-001, , , 
Invoice Date, 29/01/2019
P.O.#, 1430/2019
Due Date, 26/04/2019

"Bill ToJack Hartigan5 Barker StreetPerth, WA 6320"

"Ship ToJack Hartigan49 Queen StreetLoganholme, QLD 4129"

QTY, DESCRIPTION, UNIT PRICE, AMOUNT
1, Long beaked echidna backpack, 100.00, 100.00
2, Termite proof dress pants, 25.00, 50.00
3, Witchetty grub, 12.00, 36.00
, , Subtotal, 186.00
, , GST 10.0%, 18.60
, , TOTAL, $204.60

Store Taylor

Terms & ConditionsPayment is due within 15 days

Commonwealth Bank of AustraliaAccount Number: 1234567890BSB Number: 123-456789
